alert_id,alert_date,alert_type,severity,business_area,entity_id,entity_name,metric_name,actual_value,expected_value,difference_value,difference_percentage,alert_description,recommended_action,created_at
1391,,SELLER_PERFORMANCE_RISK,high,seller_operations,ffff564a4f9085cd26170f4732393726,"campinas, SP",seller_risk_level,0.0,15.0,,,Seller shows high operational risk based on delivery delays or low review scores.,"Review seller SLA performance, delivery process, customer reviews, and fulfilment reliability.",2026-07-05 19:52:08
1390,,SELLER_PERFORMANCE_RISK,high,seller_operations,ffcfefa19b08742c5d315f2791395ee5,"curitiba, PR",seller_risk_level,0.0,15.0,,,Seller shows high operational risk based on delivery delays or low review scores.,"Review seller SLA performance, delivery process, customer reviews, and fulfilment reliability.",2026-07-05 19:52:08
1389,,SELLER_PERFORMANCE_RISK,high,seller_operations,fec6912baad85d41729669edd6b4d3b8,"ribeirao preto, SP",seller_risk_level,0.0,15.0,,,Seller shows high operational risk based on delivery delays or low review scores.,"Review seller SLA performance, delivery process, customer reviews, and fulfilment reliability.",2026-07-05 19:52:08
1388,,SELLER_PERFORMANCE_RISK,high,seller_operations,fcf16b7a8697e559f0123190bb30177d,"sao paulo, SP",seller_risk_level,57.14,15.0,,,Seller shows high operational risk based on delivery delays or low review scores.,"Review seller SLA performance, delivery process, customer reviews, and fulfilment reliability.",2026-07-05 19:52:08
1387,,SELLER_PERFORMANCE_RISK,high,seller_operations,fce62094ffe6a4009188ec44e681dfdd,"sao paulo, SP",seller_risk_level,45.45,15.0,,,Seller shows high operational risk based on delivery delays or low review scores.,"Review seller SLA performance, delivery process, customer reviews, and fulfilment reliability.",2026-07-05 19:52:08
1386,,SELLER_PERFORMANCE_RISK,high,seller_operations,fc99f99385ae90f66f01733856fb88c9,"boituva, SP",seller_risk_level,0.0,15.0,,,Seller shows high operational risk based on delivery delays or low review scores.,"Review seller SLA performance, delivery process, customer reviews, and fulfilment reliability.",2026-07-05 19:52:08
1385,,SELLER_PERFORMANCE_RISK,high,seller_operations,fc6295add6f51a0936407ead70c1001d,"sao paulo, SP",seller_risk_level,0.0,15.0,,,Seller shows high operational risk based on delivery delays or low review scores.,"Review seller SLA performance, delivery process, customer reviews, and fulfilment reliability.",2026-07-05 19:52:08
1384,,SELLER_PERFORMANCE_RISK,high,seller_operations,fc5a0d7a310a7a41abf86a458585ff2b,"sao paulo, SP",seller_risk_level,0.0,15.0,,,Seller shows high operational risk based on delivery delays or low review scores.,"Review seller SLA performance, delivery process, customer reviews, and fulfilment reliability.",2026-07-05 19:52:08
1383,,SELLER_PERFORMANCE_RISK,high,seller_operations,fb8904a8ea99f8831b64ce27db2c1765,"sao caetano do sul, SP",seller_risk_level,50.0,15.0,,,Seller shows high operational risk based on delivery delays or low review scores.,"Review seller SLA performance, delivery process, customer reviews, and fulfilment reliability.",2026-07-05 19:52:08
1382,,SELLER_PERFORMANCE_RISK,high,seller_operations,fa7ad8ae9bcb2c4493fdf38e96b1d74f,"pedreira, SP",seller_risk_level,0.0,15.0,,,Seller shows high operational risk based on delivery delays or low review scores.,"Review seller SLA performance, delivery process, customer reviews, and fulfilment reliability.",2026-07-05 19:52:08
1381,,SELLER_PERFORMANCE_RISK,high,seller_operations,fa74b2f3287d296e9fbd2cc80f2d1cf1,"presidente prudente, SP",seller_risk_level,18.18,15.0,,,Seller shows high operational risk based on delivery delays or low review scores.,"Review seller SLA performance, delivery process, customer reviews, and fulfilment reliability.",2026-07-05 19:52:08
1380,,SELLER_PERFORMANCE_RISK,high,seller_operations,fa18c782a4866d313cadab567097f8f1,"belo horizonte, MG",seller_risk_level,0.0,15.0,,,Seller shows high operational risk based on delivery delays or low review scores.,"Review seller SLA performance, delivery process, customer reviews, and fulfilment reliability.",2026-07-05 19:52:08
1379,,SELLER_PERFORMANCE_RISK,high,seller_operations,f9eda05b67bef472deaddbba84aca289,"orleans, SC",seller_risk_level,0.0,15.0,,,Seller shows high operational risk based on delivery delays or low review scores.,"Review seller SLA performance, delivery process, customer reviews, and fulfilment reliability.",2026-07-05 19:52:08
1378,,SELLER_PERFORMANCE_RISK,high,seller_operations,f9d010e39375d9c91dce3f40b73a2f84,"lorena, SP",seller_risk_level,40.0,15.0,,,Seller shows high operational risk based on delivery delays or low review scores.,"Review seller SLA performance, delivery process, customer reviews, and fulfilment reliability.",2026-07-05 19:52:08
1377,,SELLER_PERFORMANCE_RISK,high,seller_operations,f7df46c1e0ec44eed5c6726478da4a17,"novo hamburgo, RS",seller_risk_level,0.0,15.0,,,Seller shows high operational risk based on delivery delays or low review scores.,"Review seller SLA performance, delivery process, customer reviews, and fulfilment reliability.",2026-07-05 19:52:08
1376,,SELLER_PERFORMANCE_RISK,high,seller_operations,f76a3b1349b6df1ee875d1f3fa4340f0,"sao paulo, SP",seller_risk_level,37.5,15.0,,,Seller shows high operational risk based on delivery delays or low review scores.,"Review seller SLA performance, delivery process, customer reviews, and fulfilment reliability.",2026-07-05 19:52:08
1375,,SELLER_PERFORMANCE_RISK,high,seller_operations,f7315bb81aea4ddca2d39e249a801c98,"guarulhos, SP",seller_risk_level,50.0,15.0,,,Seller shows high operational risk based on delivery delays or low review scores.,"Review seller SLA performance, delivery process, customer reviews, and fulfilment reliability.",2026-07-05 19:52:08
1374,,SELLER_PERFORMANCE_RISK,high,seller_operations,f682e0f848abafc6f41e0d4e868c66ef,"mairipora, SP",seller_risk_level,50.0,15.0,,,Seller shows high operational risk based on delivery delays or low review scores.,"Review seller SLA performance, delivery process, customer reviews, and fulfilment reliability.",2026-07-05 19:52:08
1373,,SELLER_PERFORMANCE_RISK,high,seller_operations,f6122bc84774df1b372bdb3bb88ddb9f,"barueri, SP",seller_risk_level,33.33,15.0,,,Seller shows high operational risk based on delivery delays or low review scores.,"Review seller SLA performance, delivery process, customer reviews, and fulfilment reliability.",2026-07-05 19:52:08
